Track,Artist
Fighter,The Score
Legend,The Score
Enemies,The Score
In My Blood,The Score
Pull The Cord,The Score
Stronger,The Score
Good To Be Alive,The Score
Head Up,The Score
Skeletons,The Score
Alarm,The Score
Victorious,The Score
Big Dreams,"The Score, FITZ"
Top Of The World,The Score
Another Level,Oh The Larceny
Fire,The Score
Renegade,Zayde WÃ¸lf
Born For This,The Score
The Future Is Golden,Oh The Larceny
This Is It,Oh The Larceny
Can You Hear Me Now,The Score
In My Bones,The Score
Never Going Back,The Score
Unstoppable,The Score
Who I Am,The Score
